Spandrels R,Glass R,Air Leakage,LPD,ERV,Controls,HVAC System,Solar PV,TEUI kWh/m2,TEDI kWh/m2,GHGI kgCO2/m2,En Saving %,GHG Saving%
5,2.8,Current,Current,None,Current,Current,No, 215.9 , 100.9 , 38.8 ,0.0,0.0
5,2.8,Current,Current,75%,Current,Current,No, 183.1 , 65.6 , 32.5 ,15.2,16.2
5,2.8,Current,25%,None,Current,Current,No, 213.8 , 103.7 , 38.5 ,1.0,0.8
5,2.8,Current,25%,75%,Current,Current,No, 181.0 , 68.3 , 32.2 ,16.2,17.0
5,2.8,Improved,Current,None,Current,Current,No, 214.1 , 99.0 , 38.5 ,0.8,0.9
5,2.8,Improved,Current,75%,Current,Current,No, 181.2 , 63.6 , 32.2 ,16.1,17.2
5,2.8,Improved,25%,None,Current,Current,No, 211.9 , 101.7 , 38.2 ,1.9,1.7
5,2.8,Improved,25%,75%,Current,Current,No, 179.1 , 66.3 , 31.9 ,17.1,17.9
5,4,Current,Current,None,Current,Current,No, 208.5 , 92.9 , 37.4 ,3.4,3.6
5,4,Current,Current,75%,Current,Current,No, 175.4 , 57.6 , 31.1 ,18.8,20.0
5,4,Current,25%,None,Current,Current,No, 206.1 , 95.5 , 37.1 ,4.5,4.6
5,4,Current,25%,75%,Current,Current,No, 173.2 , 60.2 , 30.8 ,19.8,20.8
5,4,Improved,Current,None,Current,Current,No, 206.7 , 90.9 , 37.1 ,4.3,4.5
5,4,Improved,Current,75%,Current,Current,No, 173.5 , 55.6 , 30.7 ,19.7,20.9
5,4,Improved,25%,None,Current,Current,No, 204.3 , 93.5 , 36.7 ,5.4,5.5
5,4,Improved,25%,75%,Current,Current,No, 171.3 , 58.2 , 30.4 ,20.7,21.8
5,5.5,Current,Current,None,Current,Current,No, 204.9 , 88.9 , 36.7 ,5.1,5.4
5,5.5,Current,Current,75%,Current,Current,No, 171.6 , 53.6 , 30.3 ,20.5,21.9
5,5.5,Current,25%,None,Current,Current,No, 202.4 , 91.4 , 36.4 ,6.3,6.4
5,5.5,Current,25%,75%,Current,Current,No, 169.3 , 56.1 , 30.0 ,21.6,22.7
5,5.5,Improved,Current,None,Current,Current,No, 203.1 , 87.0 , 36.4 ,6.0,6.3
5,5.5,Improved,Current,75%,Current,Current,No, 169.7 , 51.6 , 30.0 ,21.4,22.8
5,5.5,Improved,25%,None,Current,Current,No, 200.6 , 89.4 , 36.0 ,7.1,7.3
