Spandrels R,Glass R,Air Leakage,LPD,ERV,Controls,HVAC System,TEUI kWh/m2,TEDI kWh/m2,GHGI kgCO2/m2,En Saving %,GHG Saving%
5,2.8,Current,Current,None,Current,Current, 216 , 101 , 39 ,0,0
5,2.8,Current,Current,75%,Current,Current, 183 , 66 , 33 ,15,16
5,2.8,Current,25%,None,Current,Current, 214 , 104 , 39 ,1,1
5,2.8,Current,25%,75%,Current,Current, 181 , 68 , 32 ,16,17
5,2.8,Improved,Current,None,Current,Current, 214 , 99 , 38 ,1,1
5,2.8,Improved,Current,75%,Current,Current, 181 , 64 , 32 ,16,17
5,2.8,Improved,25%,None,Current,Current, 212 , 102 , 38 ,2,2
5,2.8,Improved,25%,75%,Current,Current, 179 , 66 , 32 ,17,18
5,4,Current,Current,None,Current,Current, 209 , 93 , 37 ,3,4
5,4,Current,Current,75%,Current,Current, 175 , 58 , 31 ,19,20
5,4,Current,25%,None,Current,Current, 206 , 96 , 37 ,5,5
5,4,Current,25%,75%,Current,Current, 173 , 60 , 31 ,20,21
5,4,Improved,Current,None,Current,Current, 207 , 91 , 37 ,4,5
5,4,Improved,Current,75%,Current,Current, 174 , 56 , 31 ,20,21
5,4,Improved,25%,None,Current,Current, 204 , 94 , 37 ,5,5
5,4,Improved,25%,75%,Current,Current, 171 , 58 , 30 ,21,22
5,5.5,Current,Current,None,Current,Current, 205 , 89 , 37 ,5,5
5,5.5,Current,Current,75%,Current,Current, 172 , 54 , 30 ,21,22
5,5.5,Current,25%,None,Current,Current, 202 , 91 , 36 ,6,6
5,5.5,Current,25%,75%,Current,Current, 169 , 56 , 30 ,22,23
5,5.5,Improved,Current,None,Current,Current, 203 , 87 , 36 ,6,6
5,5.5,Improved,Current,75%,Current,Current, 170 , 52 , 30 ,21,23
5,5.5,Improved,25%,None,Current,Current, 201 , 89 , 36 ,7,7
5,5.5,Improved,25%,75%,Current,Current, 167 , 54 , 30 ,22,24
10,2.8,Current,Current,None,Current,Current, 211 , 95 , 38 ,2,3
10,2.8,Current,Current,75%,Current,Current, 178 , 60 , 32 ,18,19
10,2.8,Current,25%,None,Current,Current, 208 , 98 , 38 ,4,3
10,2.8,Current,25%,75%,Current,Current, 175 , 63 , 31 ,19,20
10,2.8,Improved,Current,None,Current,Current, 209 , 93 , 37 ,3,3
10,2.8,Improved,Current,75%,Current,Current, 176 , 58 , 31 ,19,20
10,2.8,Improved,25%,None,Current,Current, 206 , 96 , 37 ,4,4
10,2.8,Improved,25%,75%,Current,Current, 174 , 61 , 31 ,20,21
10,4,Current,Current,None,Current,Current, 203 , 87 , 36 ,6,6
10,4,Current,Current,75%,Current,Current, 170 , 52 , 30 ,21,23
10,4,Current,25%,None,Current,Current, 201 , 90 , 36 ,7,7
10,4,Current,25%,75%,Current,Current, 168 , 54 , 30 ,22,24
10,4,Improved,Current,None,Current,Current, 201 , 85 , 36 ,7,7
10,4,Improved,Current,75%,Current,Current, 168 , 50 , 30 ,22,24
10,4,Improved,25%,None,Current,Current, 199 , 88 , 36 ,8,8
10,4,Improved,25%,75%,Current,Current, 166 , 52 , 29 ,23,25
10,5.5,Current,Current,None,Current,Current, 200 , 83 , 36 ,8,8
10,5.5,Current,Current,75%,Current,Current, 166 , 48 , 29 ,23,25
10,5.5,Current,25%,None,Current,Current, 197 , 86 , 35 ,9,9
10,5.5,Current,25%,75%,Current,Current, 164 , 50 , 29 ,24,25
10,5.5,Improved,Current,None,Current,Current, 198 , 81 , 35 ,8,9
10,5.5,Improved,Current,75%,Current,Current, 164 , 46 , 29 ,24,26
10,5.5,Improved,25%,None,Current,Current, 195 , 84 , 35 ,10,10
10,5.5,Improved,25%,75%,Current,Current, 162 , 48 , 29 ,25,26
15,2.8,Current,Current,None,Current,Current, 209 , 93 , 38 ,3,3
15,2.8,Current,Current,75%,Current,Current, 176 , 58 , 31 ,19,20
15,2.8,Current,25%,None,Current,Current, 207 , 96 , 37 ,4,4
15,2.8,Current,25%,75%,Current,Current, 174 , 61 , 31 ,20,21
15,2.8,Improved,Current,None,Current,Current, 207 , 91 , 37 ,4,4
15,2.8,Improved,Current,75%,Current,Current, 174 , 56 , 31 ,20,21
15,2.8,Improved,25%,None,Current,Current, 205 , 94 , 37 ,5,5
15,2.8,Improved,25%,75%,Current,Current, 172 , 59 , 30 ,21,22
15,4,Current,Current,None,Current,Current, 202 , 85 , 36 ,7,7
15,4,Current,Current,75%,Current,Current, 168 , 50 , 30 ,22,24
15,4,Current,25%,None,Current,Current, 199 , 88 , 36 ,8,8
15,4,Current,25%,75%,Current,Current, 166 , 52 , 29 ,23,24
15,4,Improved,Current,None,Current,Current, 200 , 83 , 36 ,8,8
15,4,Improved,Current,75%,Current,Current, 166 , 48 , 29 ,23,25
15,4,Improved,25%,None,Current,Current, 197 , 86 , 35 ,9,9
15,4,Improved,25%,75%,Current,Current, 164 , 50 , 29 ,24,25
15,5.5,Current,Current,None,Current,Current, 198 , 81 , 35 ,8,9
15,5.5,Current,Current,75%,Current,Current, 164 , 46 , 29 ,24,26
15,5.5,Current,25%,None,Current,Current, 195 , 84 , 35 ,10,10
15,5.5,Current,25%,75%,Current,Current, 162 , 48 , 29 ,25,26
15,5.5,Improved,Current,None,Current,Current, 196 , 80 , 35 ,9,10
15,5.5,Improved,Current,75%,Current,Current, 162 , 44 , 29 ,25,27
15,5.5,Improved,25%,None,Current,Current, 194 , 82 , 35 ,10,11
15,5.5,Improved,25%,75%,Current,Current, 160 , 46 , 28 ,26,27
5,2.8,Current,Current,None,Improved,Current, 188 , 87 , 34 ,13,13
5,2.8,Current,Current,75%,Improved,Current, 159 , 55 , 28 ,26,27
5,2.8,Current,25%,None,Improved,Current, 186 , 90 , 34 ,14,14
5,2.8,Current,25%,75%,Improved,Current, 157 , 58 , 28 ,27,28
