Roof R-value,Wall R-value,Soffit R-value,Win SHGC,Window U-value,H_Pod_Shade,ERV Efficiency,Global WWR,EUI (kWh/m2),TEDI (kWh/m2),CEDI (kWh/m2),SolarGain,Elec Peak kW,EnCost ($/m2),EnCst Savings (%),SPP,Premium ($)
30,24,24,0.3,0.36,0,0.75,0.42,73.9,34.4,47.1,79,308.1,12.22701458,48%,0,$0
30,24,24,0.4,0.36,0,0.75,0.42,74.1,32,50.4,65,321.7,12.25036152,48%,24.29989636,$0
30,24,24,0.3,0.36,0,0.75,0.38,73.2,33,45.1,72,301,12.10900182,49%,16.90386546,$0
30,24,24,0.4,0.36,0,0.75,0.38,72.9,30.7,48.7,71,316.5,12.05736713,49%,0,$0
30,24,24,0.3,0.36,0.4921,0.75,0.42,74.3,35,47,79,308.2,12.28605389,48%,0,"$100,000"
30,24,24,0.4,0.36,0.4921,0.75,0.42,74.5,32.8,50.3,71,321.6,12.32664754,48%,100,"$100,000"
30,24,27,0.3,0.36,0,0.75,0.42,73.5,34.1,47.2,79,308.5,12.16025443,48%,100,"$100,000"
30,24,27,0.4,0.36,0,0.75,0.42,73.8,31.8,50.4,71,322,12.20372033,48%,100,"$100,000"
40,24,24,0.3,0.36,0,0.75,0.42,73.8,34.1,47.1,79,308.2,12.21196818,48%,0,"$100,000"
40,24,24,0.4,0.36,0,0.75,0.42,74,31.7,50.4,71,321.9,12.23752861,48%,100,"$100,000"
40,24,27,0.3,0.36,0,0.75,0.42,73.4,33.8,47.2,79,308.6,12.14523439,48%,100,"$100,000"
40,24,27,0.4,0.36,0,0.75,0.42,73.7,31.5,50.5,65,322.1,12.18978068,48%,100,"$100,000"
30,24,24,0.3,0.36,0.4921,0.75,0.38,73.6,33.6,45.1,72,301.1,12.16684217,48%,100,"$100,000"
30,24,24,0.4,0.36,0.4921,0.75,0.38,73.7,31.5,48.7,65,314.8,12.18895062,48%,43.83150643,"$100,000"
30,24,27,0.3,0.36,0,0.75,0.38,72.8,32.7,45.2,72,301.4,12.04163561,49%,37.07522517,"$100,000"
30,24,27,0.4,0.36,0,0.75,0.38,72.6,30.5,48.8,65,316.8,12.00785368,49%,45.66896501,"$100,000"
40,24,24,0.3,0.36,0,0.75,0.38,73.1,32.7,45.1,72,301.1,12.09641924,49%,32.12937619,"$100,000"
40,24,24,0.4,0.36,0,0.75,0.38,72.8,30.4,48.8,65,316.7,12.04138527,49%,55.22797983,"$100,000"
40,24,27,0.3,0.36,0,0.75,0.38,72.7,32.4,45.2,72,301.3,12.02382236,49%,47.55588526,"$100,000"
40,24,27,0.4,0.36,0,0.75,0.38,72.5,30.2,48.8,71,316.9,11.99104177,49%,100,"$100,000"
30,24,27,0.3,0.36,0.4921,0.75,0.42,73.9,34.7,47.1,79,308.5,12.22370753,48%,0,"$200,000"
30,24,27,0.4,0.36,0.4921,0.75,0.42,74.2,32.5,50.4,71,321.9,12.27636992,48%,0,"$200,000"
40,24,24,0.3,0.36,0.4921,0.75,0.42,74.2,34.7,47.1,78,308.3,12.27075716,48%,0,"$200,000"
40,24,24,0.4,0.36,0.4921,0.75,0.42,74.4,32.5,50.4,65,321.7,12.30799106,48%,100,"$200,000"
30,24,27,0.3,0.36,0.4921,0.75,0.38,73.2,33.3,45.2,72,301.4,12.10295428,49%,100,"$200,000"
30,24,27,0.4,0.36,0.4921,0.75,0.38,73.4,31.2,48.7,64,315,12.13747403,48%,100,"$200,000"
40,24,24,0.3,0.36,0.4921,0.75,0.38,73.5,33.3,45.1,72,301.2,12.1545758,48%,100,"$200,000"
40,24,24,0.4,0.36,0.4921,0.75,0.38,73.6,31.2,48.7,71,314.9,12.17290289,48%,100,"$200,000"
30,24,24,0.3,0.36,0,0.78,0.42,73.3,32.9,45.1,79,303.5,12.12490463,48%,100,"$300,000"
30,24,24,0.4,0.36,0,0.78,0.42,73.5,30.6,48.4,71,317,12.14997756,48%,100,"$300,000"
30,27,24,0.3,0.36,0,0.75,0.42,73.7,33.9,47.1,79,308.1,12.1903077,48%,100,"$300,000"
30,27,24,0.4,0.36,0,0.75,0.42,73.9,31.6,50.4,71,321.8,12.21664548,48%,100,"$300,000"
40,24,24,0.3,0.36,0,0.78,0.42,73.2,32.6,45.1,79,303.6,12.1098187,49%,100,"$300,000"
40,24,24,0.4,0.36,0,0.78,0.42,73.4,30.3,48.4,71,317.1,12.1373291,48%,100,"$300,000"
40,24,27,0.3,0.36,0.4921,0.75,0.42,73.8,34.4,47.2,78,308.6,12.20867431,48%,0,"$300,000"
40,24,27,0.4,0.36,0.4921,0.75,0.42,74.1,32.2,50.4,65,321.9,12.26020361,48%,100,"$300,000"
30,24,24,0.3,0.36,0,0.78,0.38,72.6,31.5,43.1,72,296.4,12.00819624,49%,89.54768293,"$300,000"
30,24,24,0.4,0.36,0,0.78,0.38,72.3,29.3,46.7,65,310.5,11.95801085,49%,100,"$300,000"
30,27,24,0.3,0.36,0,0.75,0.38,73,32.5,45.1,72,300.9,12.06645821,49%,100,"$300,000"
30,27,24,0.4,0.36,0,0.75,0.38,72.7,30.2,48.7,65,316.6,12.0228342,49%,100,"$300,000"
40,24,24,0.3,0.36,0,0.78,0.38,72.5,31.2,43.1,72,296.6,11.99574542,49%,95.3339025,"$300,000"
40,24,24,0.4,0.36,0,0.78,0.38,72.2,29,46.8,64,310.7,11.94185771,49%,100,"$300,000"
40,24,27,0.3,0.36,0.4921,0.75,0.38,73.1,33,45.2,72,301.5,12.08528596,49%,100,"$300,000"
40,24,27,0.4,0.36,0.4921,0.75,0.38,73.3,30.9,48.8,62,315.1,12.12439078,48%,0,"$300,000"
30,24,24,0.21,0.36,0,0.75,0.42,74.2,37.1,42.8,71,292.9,12.26484137,48%,100,"$400,000"
30,24,24,0.3,0.36,0,0.82,0.42,72.6,31.1,42.4,71,297.4,12.0001592,49%,100,"$400,000"
30,24,24,0.3,0.36,0.4921,0.78,0.42,73.7,33.5,45,79,303.6,12.18419428,48%,100,"$400,000"
30,24,24,0.4,0.36,0,0.82,0.42,72.7,28.8,45.7,79,310.7,12.02664191,49%,100,"$400,000"
30,24,24,0.4,0.36,0.4921,0.78,0.42,73.9,31.3,48.3,71,316.8,12.22676424,48%,100,"$400,000"
30,24,27,0.3,0.36,0,0.78,0.42,72.9,32.6,45.2,79,303.9,12.05992317,49%,100,"$400,000"
30,24,27,0.4,0.36,0,0.78,0.42,73.2,30.3,48.4,70,317.3,12.10386339,49%,0,"$400,000"
30,27,24,0.3,0.36,0.4921,0.75,0.42,74.1,34.6,47,78,308.2,12.24831933,48%,0,"$400,000"
30,27,24,0.4,0.36,0.4921,0.75,0.42,74.3,32.3,50.3,71,321.6,12.29677873,48%,100,"$400,000"
30,27,27,0.3,0.36,0,0.75,0.42,73.3,33.6,47.2,79,308.5,12.12441713,48%,100,"$400,000"
30,27,27,0.4,0.36,0,0.75,0.42,73.6,31.3,50.4,62,322.1,12.16910835,48%,0,"$400,000"
40,24,24,0.21,0.36,0,0.75,0.42,74.1,36.8,42.8,71,292.9,12.25071726,48%,100,"$400,000"
40,24,24,0.3,0.36,0,0.82,0.42,72.5,30.8,42.4,79,297.5,11.9847966,49%,100,"$400,000"
40,24,24,0.4,0.36,0,0.82,0.42,72.6,28.5,45.8,71,310.8,12.01411203,49%,100,"$400,000"
40,24,27,0.3,0.36,0,0.78,0.42,72.8,32.3,45.2,79,304,12.04452104,49%,100,"$400,000"
40,24,27,0.4,0.36,0,0.78,0.42,73.1,30,48.5,71,317.4,12.08922543,49%,100,"$400,000"
40,27,24,0.3,0.36,0,0.75,0.42,73.6,33.6,47.1,78,308.2,12.17690824,48%,100,"$400,000"
40,27,24,0.4,0.36,0,0.75,0.42,73.8,31.3,50.4,71,321.9,12.2070142,48%,100,"$400,000"
40,27,27,0.3,0.36,0,0.75,0.42,73.2,33.3,47.2,78,308.6,12.11133388,49%,100,"$400,000"
40,27,27,0.4,0.36,0,0.75,0.42,73.5,31,50.5,56,322.2,12.15353494,48%,100,"$400,000"
